order_date,order_id,region,channel,category,product,units,unit_price,discount_rate,returned,shipping_days
2024-01-10,ORD-000001,South,Marketplace,Electronics,Smart Watch,3,393.51,0.1,0,1
2024-01-02,ORD-000002,South,Marketplace,Electronics,Smart Watch,3,387.11,0.05,0,5
2024-01-06,ORD-000003,South,Marketplace,Electronics,Earbuds,5,194.26,0.05,0,2
2024-01-17,ORD-000004,South,Marketplace,Electronics,Smart Watch,9,407.74,0,0,5
2024-01-05,ORD-000005,South,Marketplace,Electronics,Earbuds,8,194.83,0.05,0,1
2024-01-08,ORD-000006,South,Marketplace,Home,Storage Box,6,49.31,0.15,0,3
2024-01-14,ORD-000007,South,Marketplace,Home,Desk Lamp,12,88.59,0,0,3
2024-01-22,ORD-000008,South,Marketplace,Home,Storage Box,10,49.69,0,0,5
2024-01-06,ORD-000009,South,Marketplace,Beauty,Hair Dryer,2,231.33,0.1,0,2
2024-01-06,ORD-000010,South,Marketplace,Beauty,Hair Dryer,6,224.55,0.05,0,3
2024-01-19,ORD-000011,South,Marketplace,Beauty,Hair Dryer,10,221.78,0.15,0,1
2024-01-28,ORD-000012,South,Marketplace,Beauty,Hair Dryer,4,230.44,0.1,0,3
2024-01-12,ORD-000013,South,Marketplace,Sports,Fitness Band,11,75.35,0.15,0,4
2024-01-13,ORD-000014,South,Marketplace,Sports,Fitness Band,12,81.1,0,1,3
2024-01-09,ORD-000015,South,Marketplace,Sports,Yoga Mat,1,98.04,0.15,0,3
2024-01-06,ORD-000016,South,Marketplace,Sports,Yoga Mat,4,95.32,0.1,0,3
2024-01-11,ORD-000017,South,Direct,Electronics,Smart Watch,6,409.99,0,0,3
2024-01-14,ORD-000018,South,Direct,Electronics,Earbuds,7,192.29,0,1,4
2024-01-02,ORD-000019,South,Direct,Electronics,Earbuds,11,196.03,0.15,0,3
2024-01-14,ORD-000020,South,Direct,Electronics,Earbuds,4,189.17,0.05,0,3
2024-01-11,ORD-000021,South,Direct,Electronics,Earbuds,12,189.17,0,0,4
2024-01-07,ORD-000022,South,Direct,Home,Desk Lamp,10,89.72,0.05,0,4
2024-01-12,ORD-000023,South,Direct,Home,Desk Lamp,5,84.73,0.15,0,3
2024-01-23,ORD-000024,South,Direct,Home,Desk Lamp,2,92.99,0,0,2
2024-01-23,ORD-000025,South,Direct,Home,Storage Box,4,46.56,0.15,0,3
2024-01-10,ORD-000026,South,Direct,Home,Storage Box,12,48.22,0.1,0,1
2024-01-23,ORD-000027,South,Direct,Beauty,Skin Care Set,9,160.88,0,0,2
2024-01-12,ORD-000028,South,Direct,Beauty,Skin Care Set,11,160.44,0,0,4
2024-01-11,ORD-000029,South,Direct,Beauty,Skin Care Set,6,164.63,0.1,0,4
2024-01-04,ORD-000030,South,Direct,Sports,Yoga Mat,9,102.64,0,0,2
2024-01-09,ORD-000031,South,Direct,Sports,Yoga Mat,6,100.16,0.15,0,4
2024-01-19,ORD-000032,South,Direct,Sports,Yoga Mat,8,96.01,0,0,3
2024-01-04,ORD-000033,South,Direct,Sports,Yoga Mat,6,101.14,0.15,0,4
2024-01-17,ORD-000034,South,Social,Electronics,Smart Watch,5,403.23,0.15,0,2
2024-01-01,ORD-000035,South,Social,Electronics,Earbuds,1,208.56,0.15,0,4
2024-01-11,ORD-000036,South,Social,Electronics,Earbuds,11,200.32,0,0,2
2024-01-18,ORD-000037,South,Social,Electronics,Earbuds,6,197.64,0.15,0,3
2024-01-09,ORD-000038,South,Social,Home,Storage Box,9,48.77,0,1,4
2024-01-28,ORD-000039,South,Social,Home,Desk Lamp,7,85.94,0,0,5
2024-01-17,ORD-000040,South,Social,Home,Storage Box,10,50.29,0.1,0,5
2024-01-09,ORD-000041,South,Social,Home,Storage Box,11,49.78,0.15,0,4
2024-01-15,ORD-000042,South,Social,Home,Desk Lamp,10,85.4,0.05,0,3
2024-01-10,ORD-000043,South,Social,Home,Desk Lamp,12,91.03,0,0,4
2024-01-02,ORD-000044,South,Social,Beauty,Skin Care Set,4,157.48,0,0,7
2024-01-26,ORD-000045,South,Social,Beauty,Skin Care Set,9,156.51,0.05,0,3
2024-01-23,ORD-000046,South,Social,Beauty,Skin Care Set,4,152.55,0.15,0,2
2024-01-13,ORD-000047,South,Social,Beauty,Skin Care Set,8,165.03,0,0,3
2024-01-18,ORD-000048,South,Social,Beauty,Hair Dryer,7,233.61,0,0,2
2024-01-17,ORD-000049,South,Social,Sports,Yoga Mat,3,95.16,0,0,4
2024-01-04,ORD-000050,South,Social,Sports,Fitness Band,6,77.79,0,0,3
2024-01-21,ORD-000051,South,Social,Sports,Fitness Band,2,82.62,0,0,5
2024-01-12,ORD-000052,South,Social,Sports,Fitness Band,2,75.79,0.1,0,2
2024-01-07,ORD-000053,South,Social,Sports,Yoga Mat,11,96.1,0,0,1
2024-01-12,ORD-000054,South,Social,Sports,Fitness Band,6,80.76,0.05,0,3
2024-01-01,ORD-000055,East,Marketplace,Electronics,Smart Watch,6,402.55,0.15,0,4
2024-01-23,ORD-000056,East,Marketplace,Electronics,Earbuds,4,204.48,0,0,2
2024-01-22,ORD-000057,East,Marketplace,Electronics,Earbuds,2,194.49,0.1,0,2
2024-01-09,ORD-000058,East,Marketplace,Home,Storage Box,7,47.42,0.15,0,3
2024-01-01,ORD-000059,East,Marketplace,Home,Storage Box,8,50.32,0.05,0,2
2024-01-18,ORD-000060,East,Marketplace,Home,Storage Box,4,47.14,0,0,5
2024-01-05,ORD-000061,East,Marketplace,Home,Storage Box,10,48.99,0.15,0,3
2024-01-23,ORD-000062,East,Marketplace,Home,Storage Box,3,47.89,0.15,0,2
2024-01-17,ORD-000063,East,Marketplace,Home,Desk Lamp,2,88.83,0,0,3
2024-01-19,ORD-000064,East,Marketplace,Beauty,Skin Care Set,7,156.02,0,0,2
2024-01-24,ORD-000065,East,Marketplace,Beauty,Skin Care Set,3,160.69,0.1,0,3
2024-01-01,ORD-000066,East,Marketplace,Beauty,Skin Care Set,10,162.37,0.15,0,2
2024-01-27,ORD-000067,East,Marketplace,Beauty,Skin Care Set,9,158.9,0,0,2
2024-01-18,ORD-000068,East,Marketplace,Sports,Fitness Band,6,80.81,0,1,1
2024-01-03,ORD-000069,East,Marketplace,Sports,Yoga Mat,8,103.73,0,1,4
2024-01-01,ORD-000070,East,Marketplace,Sports,Fitness Band,9,77.6,0,0,2
2024-01-11,ORD-000071,East,Marketplace,Sports,Yoga Mat,1,95.85,0.05,0,3
2024-01-05,ORD-000072,East,Direct,Electronics,Smart Watch,2,394.91,0,0,2
2024-01-19,ORD-000073,East,Direct,Electronics,Smart Watch,2,412.18,0.1,0,1
